joint_name,lower_limit,upper_limit,damping,friction,velocity_limit,effort_limit
torso_yaw,-45,45,2,0,120,
torso_pitch,-20,65,2,0,120,
torso_roll,-25,25,2,0,120,
r_shoulder_pitch,-170,35,2,0,120,
r_shoulder_roll,-15,150,2,0,120,
r_shoulder_yaw,-52,82,2,0,120,
l_shoulder_pitch,-170,35,2,0,120,
l_shoulder_roll,-15,150,2,0,120,
l_shoulder_yaw,-52,82,2,0,120,
l_hip_pitch,-44,110,2,0,120,
l_hip_roll,-20,111,2,0,120,
l_hip_yaw,-81,81,2,0,120,
l_knee,-105,7,2,0,120,
l_ankle_pitch,-45,45,2,0,120,
l_ankle_roll,-25,25,2,0,120,
r_hip_pitch,-44,110,2,0,120,
r_hip_roll,-20,111,2,0,120,
r_hip_yaw,-81,81,2,0,120,
r_knee,-105,7,2,0,120,
r_ankle_pitch,-45,45,2,0,120,
r_ankle_roll,-25,25,2,0,120,
neck_pitch,-45,22,2,0,120,
neck_roll,-20,20,2,0,120,
neck_yaw,-45,45,2,0,120,
camera_tilt,-30,30,2,0,120,
l_elbow,-5,120,2,0,120,
l_wrist_roll,-20,30,2,0,120,
l_wrist_pitch,-20,20,2,0,120,
l_wrist_yaw,-92,92,2,0,120,
l_thumb_add,0,100,2,0,100,
l_thumb_prox,3.63,98,2,0,100,
l_thumb_dist,0,101.78,2,0,120,
l_index_add,0,15,2,0,100,
l_index_prox,5.75,98,2,0,100,
l_index_dist,0,98.35,2,0,100,
l_middle_prox,5.75,98,2,0,100,
l_middle_dist,0,98.35,2,0,100,
l_ring_prox,5.75,98,2,0,100,
l_ring_dist,0,98.35,2,0,100,
l_pinkie_prox,5.75,98,2,0,100,
l_pinkie_dist,2.78,101.78,2,0,100,
r_elbow,-5,120,2,0,120,
r_wrist_roll,-20,30,2,0,120,
r_wrist_pitch,-20,20,2,0,120,
r_wrist_yaw,-92,92,2,0,120,
r_thumb_add,0,100,2,0,100,
r_thumb_prox,3.63,98,2,0,100,
r_thumb_dist,0,101.78,2,0,120,
r_index_add,0,15,2,0,100,
r_index_prox,5.75,98,2,0,100,
r_index_dist,0,98.35,2,0,100,
r_middle_prox,5.75,98,2,0,100,
r_middle_dist,0,98.35,2,0,100,
r_ring_prox,5.75,98,2,0,100,
r_ring_dist,0,98.35,2,0,100,
r_pinkie_prox,5.75,98,2,0,100,
r_pinkie_dist,2.78,101.78,2,0,100,
