joint_name,lower_limit,upper_limit,damping,friction,velocity_limit,effort_limit
torso_yaw,-43,43,2,0,120,
torso_pitch,-18,45,2,0,120,
torso_roll,-23,23,2,0,120,
r_shoulder_pitch,-170,35,2,0,120,
r_shoulder_roll,-15,150,2,0,120,
r_shoulder_yaw,-50,80,2,0,120,
l_shoulder_pitch,-170,35,2,0,120,
l_shoulder_roll,-15,150,2,0,120,
l_shoulder_yaw,-50,80,2,0,120,
l_hip_pitch,-45,115,2,0,120,
l_hip_roll,-35,112,2,0,120,
l_hip_yaw,-80,80,2,0,120,
l_knee,-70,5,2,0,120,
l_ankle_pitch,-45,45,2,0,120,
l_ankle_roll,-25,25,2,0,120,
r_hip_pitch,-45,115,2,0,120,
r_hip_roll,-35,112,2,0,120,
r_hip_yaw,-80,80,2,0,120,
r_knee,-70,5,2,0,120,
r_ankle_pitch,-45,45,2,0,120,
r_ankle_roll,-25,25,2,0,120,
neck_pitch,-30,22,2,0,120,
neck_roll,-20,20,2,0,120,
neck_yaw,-45,45,2,0,120,
camera_tilt,-30,30,2,0,120,
l_elbow,-3,75,2,0,120,
l_wrist_roll,-62,52,2,0,120,
l_wrist_pitch,-32,32,2,0,120,
l_wrist_yaw,-92,92,2,0,120,
l_thumb_add,0,90,2,0,100,
l_thumb_prox,0,82.1,2,0,100,
l_thumb_dist,0,53.6,2,0,120,
l_index_add,0,15,2,0,100,
l_index_prox,0,90,2,0,100,
l_index_dist,0,99.2,2,0,100,
l_middle_prox,0,90,2,0,100,
l_middle_dist,0,99.2,2,0,100,
l_ring_prox,0,90,2,0,100,
l_ring_dist,0,99.2,2,0,100,
l_pinkie_prox,0,90,2,0,100,
l_pinkie_dist,0,93.3,2,0,100,
r_elbow,-3,75,2,0,120,
r_wrist_roll,-62,52,2,0,120,
r_wrist_pitch,-32,32,2,0,120,
r_wrist_yaw,-92,92,2,0,120,
r_thumb_add,0,90,2,0,100,
r_thumb_prox,0,82.1,2,0,100,
r_thumb_dist,0,53.6,2,0,120,
r_index_add,0,15,2,0,100,
r_index_prox,0,90,2,0,100,
r_index_dist,0,99.2,2,0,100,
r_middle_prox,0,90,2,0,100,
r_middle_dist,0,99.2,2,0,100,
r_ring_prox,0,90,2,0,100,
r_ring_dist,0,99.2,2,0,100,
r_pinkie_prox,0,90,2,0,100,
r_pinkie_dist,0,93.3,2,0,100,
